,pIC50,standard_units,molecule_dictionary.chembl_id,canonical_smiles
128,4.319999993033795,nM,CHEMBL1161234,COc1cc(/C=C(\C#N)C(N)=O)cc(SCCCC(=O)O)c1O
129,4.269999997064645,nM,CHEMBL1161236,COc1cc(C=C(C#N)C#N)cc(SCC(=O)O)c1O
130,6.449771646944907,nM,CHEMBL116308,O=[N+]([O-])c1cccc2ncnc(Nc3cccc(Br)c3)c12
131,5.0655015487564325,nM,CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
132,6.1249387366083,nM,CHEMBL116547,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O
133,5.229147988357856,nM,CHEMBL116748,O=[N+]([O-])c1ccc2c(NCc3ccccc3)ncnc2c1
134,5.0,nM,CHEMBL116919,COc1ccc(CNc2ncnc3ccccc23)cc1
135,5.284832642151542,nM,CHEMBL1169856,Cc1ccc(C2=NN(C(N)=S)C(c3ccccc3F)C2)cc1C
136,5.088842391260024,nM,CHEMBL1169870,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(Cl)cc1
137,5.411168274405793,nM,CHEMBL1170278,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc2ccccc12
138,5.239577516576788,nM,CHEMBL1170459,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc2ccccc2c1
139,4.494850021680095,nM,CHEMBL1171273,COc1ccccc1/C=C/C(=O)OCCn1c([N+](=O)[O-])cnc1C
140,4.6679657229724825,nM,CHEMBL1171638,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccccc1Cl
141,7.070581074285707,nM,CHEMBL1171792,Cc1ccc(Br)c2c(C#N)cc(C(=O)C3CC3)n12
142,4.713992877920526,nM,CHEMBL1171822,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(C)cc1
143,4.6170828649124696,nM,CHEMBL1172418,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Cl
144,4.542269451754002,nM,CHEMBL1172419,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1
145,5.202732459169283,nM,CHEMBL1172573,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(F)cc1
146,4.593971055036385,nM,CHEMBL1172602,COc1cc(OC)cc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(C)=O)c1
147,4.80799040734633,nM,CHEMBL1172603,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(F)cc1
148,7.086186147616283,nM,CHEMBL1172773,C=CC(=O)Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1
149,6.528651293288206,nM,CHEMBL1172781,OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1
150,5.385102783966866,nM,CHEMBL1172802,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(F)cc1
151,5.441291429466834,nM,CHEMBL1172803,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1
152,5.049635145623878,nM,CHEMBL1172823,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(F)cc1
153,7.926935982160881,nM,CHEMBL1172843,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1
154,4.997402019280091,nM,CHEMBL1172855,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(Br)cc1
155,4.572838597074035,nM,CHEMBL1172877,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1F
156,4.681727919788374,nM,CHEMBL1172878,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Cl
157,5.241088107602026,nM,CHEMBL1172915,COc1ccc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(N)=S)cc1
158,5.131943638176959,nM,CHEMBL1172916,Cc1ccc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(N)=S)cc1
159,5.164309428507576,nM,CHEMBL1172917,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Br)cc1
160,4.614036429399303,nM,CHEMBL1172947,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Br
161,4.837734385701979,nM,CHEMBL1172950,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc([N+](=O)[O-])c1
162,4.90587840415944,nM,CHEMBL1172951,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc(F)c1
163,5.0,nM,CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1
164,5.135488918941609,nM,CHEMBL1172980,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Cl)cc1
165,4.857923538926715,nM,CHEMBL1173014,COc1cccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)c1
166,4.704872914747809,nM,CHEMBL1173022,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(Cl)cc1
167,4.685922008220788,nM,CHEMBL1173023,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(Br)cc1
168,4.761702932124607,nM,CHEMBL1173105,COc1cc(OC)cc(C2CC(c3ccc(C)c(C)c3)=NN2C(C)=O)c1
169,4.973058372040971,nM,CHEMBL1173191,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc([N+](=O)[O-])cc1
170,4.948076083953894,nM,CHEMBL1173192,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(O)cc1
171,5.092051478387727,nM,CHEMBL1173193,COc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1
